,RAM,1,2,3,4
NE_L3,347.8791919145345,0.46486,0.0,0.0,0.0
NE_L3 cont: NE_L4,-321.9092070996742,-0.776467,0.0,0.0,0.0
NE_L3 cont: NE_L5,124.81540210773169,0.398956,0.0,0.0,0.0
NE_L4 cont: NE_L3,319.89451560303695,0.798262,0.0,0.0,0.0
NE_L5 cont: NE_L3,112.56922372273436,0.398968,0.0,0.0,0.0
