,RAM,1,2,3,4
NE_L3,390.6337104389448,0.464189,0.0,0.0,0.0
NE_L3 cont: NE_L4,-412.7158634196219,-0.775824,0.0,0.0,0.0
NE_L3 cont: NE_L5,139.23768214052416,0.398958,0.0,0.0,0.0
NE_L4 cont: NE_L3,413.17545001128536,0.798565,0.0,0.0,0.0
NE_L5 cont: NE_L3,127.27253692346153,0.398972,0.0,0.0,0.0
