,RAM,1,2,3,4
NE_L3,338.4065331815746,0.464845,0.0,0.0,0.0
NE_L3 cont: NE_L4,-291.6798678171984,-0.776934,0.0,0.0,0.0
NE_L3 cont: NE_L5,141.50099279962913,0.398956,0.0,0.0,0.0
NE_L4 cont: NE_L3,288.35120023156367,0.798059,0.0,0.0,0.0
NE_L5 cont: NE_L3,129.0103937490285,0.398966,0.0,0.0,0.0
