,RAM,1,2,3,4
NE_L3,375.24304485665516,0.464184,0.0,0.0,0.0
NE_L3 cont: NE_L4,-414.3065620883478,-0.775629,0.0,0.0,0.0
NE_L3 cont: NE_L5,106.9786305442338,0.398959,0.0,0.0,0.0
NE_L4 cont: NE_L3,412.48606737254005,0.798503,0.0,0.0,0.0
NE_L5 cont: NE_L3,95.70508682409775,0.398975,0.0,0.0,0.0
