,RAM,1,2,3,4
NE_L3,398.9507735785299,0.464221,0.0,0.0,0.0
NE_L3 cont: NE_L4,-432.60883863699297,-0.775606,0.0,0.0,0.0
NE_L3 cont: NE_L5,133.13668361127554,0.398958,0.0,0.0,0.0
NE_L4 cont: NE_L3,430.0671769416416,0.79851,0.0,0.0,0.0
NE_L5 cont: NE_L3,121.13802958981728,0.398975,0.0,0.0,0.0
